"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.27,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",64.68,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",963.33,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",43.79,"bereinigt"
"2024-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.31,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.27,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",61.52,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",965.88,"bereinigt"
"2024-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.34,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.94,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",55.1,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",963.61,"bereinigt"
"2024-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",8.43,"bereinigt"
"2024-01-01T00:00+0100","Zch_Heubeeribüel","T","d1","°C",4.48,"bereinigt"
"2024-01-01T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",942.97,"bereinigt"
"2024-01-01T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",7.03,"bereinigt"
"2024-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.51,"bereinigt"
"2024-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",421.62,"bereinigt"
"2024-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.71,"bereinigt"
"2024-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",16.03,"bereinigt"
"2024-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.35,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.69,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",315.2,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",960.2,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.28,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.43,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",293.55,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",957.89,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",8.94,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","T","d1","°C",5.69,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",937.43,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",7.58,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",10.87,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",209.61,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",954.54,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",46.76,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",13.38,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",11.18,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",217.79,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",956.97,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",13.99,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",10.83,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",127.92,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",954.51,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",13.28,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","T","d1","°C",9.3,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",934.44,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",12.4,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.99,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",238.7,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",959.29,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",46.05,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.53,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.03,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",212.22,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",961.79,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.74,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.93,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",150.15,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",959.41,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.94,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","T","d1","°C",6.13,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",939.02,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",8.36,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.64,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",655.77,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",954.81,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",13.83,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.43,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.25,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",614.87,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",957.3,"bereinigt"
"2024-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.22,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.38,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",425.27,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",955.03,"bereinigt"
"2024-01-05T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.37,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","T","d1","°C",5.02,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",934.77,"bereinigt"
"2024-01-05T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",6.57,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.9,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",1354.67,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.37,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",8.09,"bereinigt"
"2024-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.6,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.29,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",1195.78,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",959.91,"bereinigt"
"2024-01-06T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",5.84,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",4.55,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",1084.13,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",957.64,"bereinigt"
"2024-01-06T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.26,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","T","d1","°C",2.09,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",937.07,"bereinigt"
"2024-01-06T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",4.12,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.16,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",820.25,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",961.43,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",17.42,"bereinigt"
"2024-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",4.53,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",2.44,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",1015.85,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",964.06,"bereinigt"
"2024-01-07T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.82,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.73,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",625.88,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",961.78,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",4.05,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","T","d1","°C",0.26,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",940.86,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",1.51,"bereinigt"
"2024-01-08T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.4,"bereinigt"
"2024-01-08T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-08T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.86,"bereinigt"
"2024-01-08T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",10.8,"bereinigt"
"2024-01-08T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.71,"bereinigt"
"2024-01-08T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.59,"bereinigt"
"2024-01-08T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-08T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",970.52,"bereinigt"
"2024-01-08T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",0.16,"bereinigt"
"2024-01-08T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.51,"bereinigt"
"2024-01-08T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.17,"bereinigt"
"2024-01-08T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",968.18,"bereinigt"
"2024-01-08T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.33,"bereinigt"
"2024-01-08T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-3.94,"bereinigt"
"2024-01-08T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",946.77,"bereinigt"
"2024-01-08T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",-2.03,"bereinigt"
"2024-01-09T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-2.44,"bereinigt"
"2024-01-09T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",3.9,"bereinigt"
"2024-01-09T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.46,"bereinigt"
"2024-01-09T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",14.28,"bereinigt"
"2024-01-09T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-1.12,"bereinigt"
"2024-01-09T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.51,"bereinigt"
"2024-01-09T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",114.25,"bereinigt"
"2024-01-09T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.19,"bereinigt"
"2024-01-09T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-1.33,"bereinigt"
"2024-01-09T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-2.49,"bereinigt"
"2024-01-09T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",91.13,"bereinigt"
"2024-01-09T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",971.83,"bereinigt"
"2024-01-09T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-1.21,"bereinigt"
"2024-01-09T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-4.89,"bereinigt"
"2024-01-09T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",950.35,"bereinigt"
"2024-01-09T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",-3.59,"bereinigt"
"2024-01-10T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.51,"bereinigt"
"2024-01-10T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-10T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.02,"bereinigt"
"2024-01-10T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",28.61,"bereinigt"
"2024-01-10T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.08,"bereinigt"
"2024-01-10T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.91,"bereinigt"
"2024-01-10T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",82.32,"bereinigt"
"2024-01-10T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.74,"bereinigt"
"2024-01-10T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.6,"bereinigt"
"2024-01-10T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.82,"bereinigt"
"2024-01-10T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",24.18,"bereinigt"
"2024-01-10T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.34,"bereinigt"
"2024-01-10T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-0.39,"bereinigt"
"2024-01-10T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-3.97,"bereinigt"
"2024-01-10T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",951.94,"bereinigt"
"2024-01-10T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",-2.68,"bereinigt"
"2024-01-11T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.12,"bereinigt"
"2024-01-11T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-11T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.96,"bereinigt"
"2024-01-11T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",11.59,"bereinigt"
"2024-01-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.28,"bereinigt"
"2024-01-11T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.6,"bereinigt"
"2024-01-11T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-11T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.7,"bereinigt"
"2024-01-11T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.89,"bereinigt"
"2024-01-11T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.4,"bereinigt"
"2024-01-11T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",6.03,"bereinigt"
"2024-01-11T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",975.28,"bereinigt"
"2024-01-11T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-0.63,"bereinigt"
"2024-01-11T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-3.71,"bereinigt"
"2024-01-11T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",953.91,"bereinigt"
"2024-01-11T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",-2.78,"bereinigt"
"2024-01-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.39,"bereinigt"
"2024-01-12T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",977.14,"bereinigt"
"2024-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",25.98,"bereinigt"
"2024-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.75,"bereinigt"
"2024-01-12T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.5,"bereinigt"
"2024-01-12T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-12T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",979.97,"bereinigt"
"2024-01-12T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.65,"bereinigt"
"2024-01-12T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.57,"bereinigt"
"2024-01-12T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",1.22,"bereinigt"
"2024-01-12T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",977.62,"bereinigt"
"2024-01-12T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-0.75,"bereinigt"
"2024-01-12T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-4.05,"bereinigt"
"2024-01-12T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",956.12,"bereinigt"
"2024-01-12T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",-3.39,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.53,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.77,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",33.6,"bereinigt"
"2024-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.53,"bereinigt"
"2024-01-13T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.89,"bereinigt"
"2024-01-13T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.17,"bereinigt"
"2024-01-13T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.47,"bereinigt"
"2024-01-13T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.83,"bereinigt"
"2024-01-13T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.63,"bereinigt"
"2024-01-13T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2024-01-13T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.12,"bereinigt"
"2024-01-13T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-0.4,"bereinigt"
"2024-01-13T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-3.75,"bereinigt"
